Date,Cash Available,Cash Invested,Open,High,Low,Close
2021-10-01,51387.640516,48818.760258,193.5,193.5,188.419998,189.220001
2021-10-04,100968.71260258,0,187.050003,197.389999,187.050003,191.029999
2021-10-05,101458.13859484,0,191.649994,192.300003,189.699997,192.199997
2021-10-06,101940.85661032,0,199.389999,199.389999,187.100006,190.190002
2021-10-07,102423.44561806,0,187.050003,193.070007,187.050003,191.820007
2021-10-08,102914.03260258,0,197.440002,197.440002,190.149994,192.580002
2021-10-11,103346.18260258,0,193.119995,194.0,167.5,193.089996
2021-10-12,103817.29061806,0,219.800003,219.800003,182.600006,193.660004
2021-10-13,104295.23561805999,0,204.850006,204.850006,185.25,195.559998
2021-10-14,53791.73561805999,50854.380258000005,205.279999,205.279999,195.75,197.110001
2021-10-18,105305.30561806,0,207.389999,207.389999,195.75,198.910004
2021-10-19,105305.30561806,0,198.160004,207.800003,197.990005,198.410004
2021-10-20,54618.623812059996,50903.400774,202.389999,202.389999,196.460007,197.300003
2021-10-21,106302.50144385998,0,201.440002,201.440002,190.050003,196.080002
2021-10-22,56049.26170185998,50485.438194,199.850006,199.850006,194.779999,195.679993
2021-10-25,56737.55435727997,50493.181806,198.649994,198.649994,194.059998,195.710007
2021-10-26,107806.35764385998,0,199.389999,199.389999,194.050003,197.130005
2021-10-27,108307.13565933998,0,203.389999,203.389999,194.100006,196.539993
2021-10-28,58518.29669133999,49969.438194,209.0,209.0,192.979996,193.679993
2021-10-29,109274.8420645,0,209.0,209.0,182.100006,191.160004
2021-11-01,109768.55086708,0,208.880005,208.880005,191.360001,193.839996
2021-11-02,110242.23888256,0,206.899994,206.899994,183.600006,193.100006
2021-11-03,110732.69689804001,0,200.0,200.0,190.100006,192.580002
2021-11-04,111210.28070062002,0,207.880005,207.880005,185.110001,193.589996
2021-11-08,111707.18871610002,0,200.0,200.0,192.600006,195.369995
2021-11-09,61913.18871610002,50279.04129,200.0,200.0,193.0,194.880005
2021-11-10,62429.19052210002,50222.281032,199.0,199.0,192.929993,194.660004
2021-11-11,63141.08655004001,49858.5,199.899994,199.899994,192.100006,193.25
2021-11-12,113691.93111352,0,198.0,198.0,191.25,195.460007
2021-11-15,114182.13111352001,0,199.5,199.5,190.0,195.520004
2021-11-16,64091.43266152001,50173.260258,199.5,199.5,194.149994,194.470001
2021-11-17,65121.236550040005,49930.739742,199.5,199.5,192.100006,193.529999
2021-11-18,65815.51559752,49572.119741999995,197.440002,197.440002,191.330002,192.139999
2021-11-22,116152.16751868001,0,197.440002,209.399994,186.0,188.529999
2021-11-23,116609.34351094003,0,193.399994,193.399994,177.199997,189.399994
2021-11-24,68162.10376894003,48568.5,192.399994,192.399994,187.779999,188.25
2021-11-25,117093.81590836003,0,188.699997,189.850006,187.119995,189.509995
2021-11-26,69670.83642436002,47603.57871,193.0,193.0,183.809998,184.509995
2021-11-29,118032.70371868003,0,187.660004,187.660004,180.100006,184.550003
2021-11-30,70764.52191268004,47394.599226,188.0,188.0,183.210007,183.699997
2021-12-01,118977.78355222003,0,187.5,187.5,183.100006,185.720001
2021-12-02,119453.81933932003,0,186.919998,188.190002,184.509995,187.990005
2021-12-03,71530.31933932003,47988.0,192.5,192.5,185.75,186.0
2021-12-06,72770.65356532001,47216.57871,192.399994,192.399994,182.800003,183.009995
2021-12-07,120869.33636254002,0,190.0,190.0,180.100006,185.710007
2021-12-08,121348.46818060002,0,191.0,191.0,185.710007,188.479996
2021-12-09,121831.34099092001,0,192.5,192.5,187.160004,189.139999
2021-12-10,122308.64099092002,0,185.0,192.5,185.0,189.089996
2021-12-13,73907.83944292001,48478.198452,192.399994,192.399994,187.600006,187.899994
2021-12-14,123269.71681672,0,188.149994,192.399994,184.910004,187.330002
2021-12-15,75423.61759072001,48052.5,192.0,192.0,185.449997,186.25
2021-12-16,76018.17780898,48147.95871,190.0,190.0,185.0,186.619995
2021-12-17,77269.47780898001,47412.661032,190.0,190.0,182.0,183.770004
2021-12-20,125153.89082446,0,187.5,187.5,177.850006,179.929993
2021-12-21,78713.89082446,46814.099226,185.0,185.0,180.0,181.449997
2021-12-22,126082.81983220001,0,185.0,185.0,180.050003,183.330002
2021-12-23,78739.81983220001,47497.801548,187.5,187.5,183.5,184.100006
2021-12-24,127020.90784768,0,187.5,187.5,180.100006,183.449997
2021-12-27,127480.14784768,0,187.490005,187.490005,178.0,184.550003
2021-12-28,79866.24707367999,48065.400774,187.449997,187.449997,184.550003,186.300003
2021-12-29,128427.13685541999,0,188.899994,188.899994,182.5,186.119995
2021-12-30,128427.13685541999,0,186.720001,187.449997,185.300003,186.139999
2021-12-31,128904.82383993999,0,188.0,188.770004,185.149994,187.789993
2022-01-03,129382.89784767997,0,190.0,190.949997,185.300003,190.720001
2022-01-04,129871.03383993998,0,198.910004,198.910004,189.199997,192.460007
2022-01-05,130364.58784767997,0,195.0,195.0,191.300003,193.339996
2022-01-06,81151.08784767997,49515.359484,193.0,193.0,190.75,191.919998
2022-01-07,81475.52439567998,49644.359484,194.0,194.0,191.399994,192.419998
2022-01-10,131350.53483219998,0,193.699997,194.5,192.449997,194.350006
2022-01-11,81492.03483219998,50230.020516,196.0,196.0,193.25,194.690002
2022-01-12,81526.21905819996,50619.599226,197.5,197.5,195.050003,196.199997
2022-01-13,81835.94806593997,50826.0,198.800003,198.800003,195.800003,197.0
2022-01-14,82418.51284767996,50918.880258000005,199.850006,199.850006,195.5,197.360001
2022-01-17,133866.80883993997,0,223.0,223.0,195.699997,198.029999
2022-01-18,83402.00729193997,50560.260258,199.0,199.0,195.600006,195.970001
2022-01-19,84577.45685541996,50098.438194,221.399994,221.399994,193.0,194.179993
2022-01-20,85565.59530741996,49582.438194,195.800003,195.800003,191.100006,192.179993
2022-01-21,36746.83504941996,98370.23948399999,191.990005,191.990005,189.220001,190.639999
2022-01-24,88365.72169947994,47933.818194,196.800003,196.800003,184.050003,185.789993
2022-01-25,136797.74048895994,0,185.490005,187.380005,183.050003,187.070007
2022-01-27,137269.10648121993,0,194.0,194.0,182.699997,185.330002
2022-01-28,89590.70570721992,47755.801548,187.75,188.059998,184.800003,185.100006
2022-01-31,138223.83548895994,0,199.880005,199.880005,185.25,187.630005
2022-02-01,138683.35929153993,0,190.800003,190.800003,178.110001,189.699997
2022-02-02,139172.78528379995,0,194.0,194.0,189.699997,192.119995
2022-02-03,90255.98373579995,49022.57871,195.0,195.0,189.600006,190.009995
2022-02-04,90897.37458927996,48914.218968,193.0,193.0,189.009995,189.589996
2022-02-07,92318.97934437999,48075.718968,193.0,193.0,185.389999,186.339996
2022-02-08,141103.9152838,0,190.0,190.0,184.5,186.809998
2022-02-09,141586.63329928,0,199.850006,199.850006,187.100006,189.029999
2022-02-10,92953.63329927999,49048.380258000005,191.5,191.5,188.5,190.110001
2022-02-11,93826.96329927997,48504.0,192.5,192.5,187.0,188.0
2022-02-14,46793.56252527997,94216.437936,187.5,187.5,182.300003,182.589996
2022-02-15,94768.37949669997,48398.218968,185.0,187.880005,182.589996,187.589996
2022-02-16,95392.74027069999,48282.119741999995,190.0,190.0,186.449997,187.139999
2022-02-17,95946.02100495998,48227.938194,190.0,190.0,186.169998,186.929993
2022-02-18,144931.11309154,0,183.300003,190.0,183.300003,186.639999
2022-02-21,97281.09257554001,48062.818194,190.0,190.0,184.690002,186.289993
2022-02-22,97752.43278070001,47799.661032,186.0,186.0,182.690002,185.270004
2022-02-23,98257.31298586,47742.900774,187.990005,187.990005,184.580002,185.050003
2022-02-24,101155.11792250001,46016.880258000005,180.600006,189.949997,177.0,178.360001
2022-02-25,147739.59792250002,0,185.0,185.0,179.0,180.850006
2022-02-28,148193.93593798002,0,189.880005,189.880005,176.100006,181.839996
2022-03-02,148653.94994572,0,185.0,185.0,178.300003,180.100006
2022-03-03,102652.54917171999,46145.880258000005,184.899994,184.899994,178.300003,178.860001
2022-03-04,57487.06968771999,90950.15742,178.479996,178.479996,175.059998,176.259995
2022-03-07,58921.70396655999,88922.281032,176.899994,176.899994,171.25,172.330002
2022-03-08,103985.29975366,44737.198452,177.550003,177.550003,170.259995,173.399994
2022-03-09,104432.02673818,45660.838968,180.0,180.0,173.149994,176.979996
2022-03-10,150893.44151992,0,177.25,183.899994,177.25,179.649994
2022-03-11,151350.51433024,0,183.0,183.0,177.160004,179.979996
2022-03-14,151810.65734571998,0,182.0,182.990005,178.350006,182.610001
2022-03-15,105497.07863571998,46594.801548,185.0,185.0,179.509995,180.600006
2022-03-16,152273.79313282,0,183.600006,183.800003,181.800003,183.660004
2022-03-17,104492.19390682,48171.181806,188.0,188.0,185.199997,186.710007
2022-03-21,153221.16912508,0,190.0,190.0,182.0,185.380005
2022-03-22,153696.40511734,0,189.0,193.75,184.199997,187.339996
2022-03-23,105966.40511734001,48075.718968,190.0,190.0,185.0,186.339996
2022-03-24,154632.42912508,0,198.0,198.0,177.800003,186.089996
2022-03-25,106902.42912508,47941.561806,187.119995,187.119995,185.0,185.820007
2022-03-28,155585.22313281999,0,188.199997,188.199997,184.300003,186.320007
2022-03-29,156060.33011734,0,190.0,190.0,184.149994,187.220001
2022-03-30,107620.83011734,48738.781032,191.5,191.5,187.75,188.910004
2022-03-31,108002.02666533999,48728.45871,190.5,190.5,188.149994,188.869995
2022-04-01,157507.45210185996,0,189.940002,190.960007,185.0,190.470001
2022-04-04,157507.45210185996,0,190.5,195.350006,190.5,195.190002
2022-04-05,107429.65055385996,50193.900774,196.740005,197.149994,194.100006,194.550003
2022-04-06,107429.65055385996,49794.0,194.240005,194.240005,192.699997,193.0
2022-04-07,58136.171069859956,98690.15742,193.0,193.0,191.059998,191.259995
2022-04-08,108410.54076159996,49732.07871,195.0,195.0,189.130005,192.759995
2022-04-11,59132.54076159996,98901.718968,193.539993,193.539993,191.0,191.669998
2022-04-12,159481.90032507997,0,189.860001,210.0,189.199997,190.419998
2022-04-13,110634.75980907997,48901.318194,195.0,195.0,189.330002,189.539993
2022-04-18,62840.25980907997,96094.677936,188.550003,188.550003,185.25,186.229996
2022-04-19,64053.50635707997,94778.876388,185.0,187.699997,182.399994,183.679993
2022-04-20,161388.98470702,0,191.889999,191.889999,182.199997,185.860001
2022-04-21,161864.76251734,0,209.550003,209.550003,184.410004,188.100006
2022-04-22,114199.26251733999,48011.218968,188.240005,188.240005,184.75,186.089996
2022-04-25,115062.91751733999,47435.880258000005,186.690002,186.690002,183.25,183.860001
2022-04-26,115220.94225934,48016.380258000005,194.880005,194.880005,184.470001,186.110001
2022-04-27,115918.75486191998,47673.239742,200.0,200.0,183.610001,184.779999
2022-04-28,116085.44814849997,48093.781032,188.5,194.880005,184.800003,186.410004
2022-04-29,116562.23215623997,47840.938194,192.75,192.75,184.800003,185.429993
2022-05-02,117016.95715623998,47760.95871,176.25,185.25,176.25,185.119995
2022-05-04,118603.14193797999,46710.900774,193.979996,193.979996,180.5,181.050003
2022-05-05,119017.23271198,46700.57871,194.479996,194.479996,180.699997,181.009995
2022-05-06,73260.93116398,91817.041032,180.490005,180.490005,177.350006,177.940002
2022-05-09,167002.78094572,0,171.0,184.880005,171.0,176.949997
2022-05-10,121801.18171972001,45449.281032,184.600006,184.600006,175.199997,176.160004
2022-05-11,167850.31094572,0,153.300003,181.899994,153.300003,175.339996
2022-05-12,123742.62913972,44303.760258,174.990005,175.0,170.960007,171.720001
2022-05-13,124170.80905377999,44221.198452,178.899994,178.899994,171.009995,171.399994
2022-05-16,124614.59355087997,44409.54129,176.800003,176.800003,171.0,172.130005
2022-05-17,169614.97933797998,0,176.899994,176.899994,171.009995,176.440002
2022-05-18,124410.79753197997,45420.900774,178.990005,178.990005,175.210007,176.050003
2022-05-19,80163.79753197997,88597.198452,175.990005,175.990005,171.5,171.699997
2022-05-20,170953.27694314,0,176.990005,176.990005,172.009995,175.919998
2022-05-23,125829.07849114,45286.739742,178.990005,178.990005,174.899994,175.529999
2022-05-24,126445.44021766001,45173.218968,177.990005,177.990005,174.259995,175.089996
2022-05-25,127153.03100476,44925.54129,176.800003,176.800003,173.259995,174.130005
2022-05-26,172747.46050186,0,176.699997,176.699997,173.0,175.570007
2022-05-27,173199.34748638002,0,179.800003,179.800003,175.149994,177.100006
2022-05-30,173657.42649412,0,182.899994,182.899994,177.550003,180.429993
2022-05-31,174114.73149412,0,180.990005,180.990005,177.25,179.869995
2022-06-01,174114.73149412,0,180.190002,180.699997,178.550003,179.589996
2022-06-02,174573.97149412,0,180.990005,180.990005,178.0,180.679993
2022-06-03,128133.97149411999,46494.181806,183.5,184.990005,180.0,180.210007
2022-06-06,175493.09649412,0,181.990005,181.990005,176.25,180.149994
2022-06-07,129762.59649411999,46068.479484,181.880005,181.880005,177.25,178.559998
2022-06-08,130155.40149411999,45944.640516,181.860001,181.860001,177.5,178.080002
2022-06-09,176863.28289928,0,179.990005,179.990005,176.330002,179.399994
2022-06-10,131419.16315728,45526.681806,178.990005,178.990005,176.139999,176.460007
