Date,Cash Available,Cash Invested,Open,High,Low,Close
2021-11-15,1261.0,98739.0,472.0,475.790009,456.0,465.75
2021-11-16,1261.0,98539.719576,474.0,474.0,460.049988,464.809998
2021-11-17,1303.6599990999998,98425.237668,404.399994,469.0,404.399994,464.269989
2021-11-18,1346.2449981999998,97026.042756,403.899994,524.599976,403.899994,457.670013
2021-11-22,103416.1549532,1347.420045,517.200012,517.200012,430.200012,449.140015
2021-11-23,107675.0948152,1367.010039,390.799988,476.100006,390.799988,455.670013
2021-11-24,112109.35474440003,1360.2899790000001,396.399994,497.5,396.399994,453.429993
2021-11-25,599.9794966500194,112906.166295,480.600006,480.600006,426.200012,457.109985
2021-11-26,118412.64409640002,446.01001,495.0,495.0,429.700012,446.01001
2021-11-29,7324.6409164000215,116917.64239400001,419.200012,504.0,419.200012,439.540009
2021-11-30,116203.84442540004,7915.31982,447.0,447.0,430.0,439.73999
2021-12-01,121378.10434620005,7937.100216000001,413.399994,496.899994,413.399994,440.950012
2021-12-02,7390.021753200068,122256.75192499999,498.299988,498.299988,435.0,444.570007
2021-12-03,7390.021753200068,122265.00165,454.0,454.0,436.0,444.600006
2021-12-06,128024.14110445007,7420.67017,471.299988,471.299988,435.5,436.51001
2021-12-07,6186.0153689500585,129596.829414,493.299988,493.299988,434.0,442.309998
2021-12-08,6439.7653689500585,131220.05175800002,402.5,485.0,402.5,447.850006
2021-12-09,166.64555095005835,137560.55600900002,459.0,459.0,443.119995,448.079987
2021-12-10,142468.11224455005,0,485.0,485.0,421.200012,450.839996
2021-12-13,609.3881365500565,141858.724108,463.0,463.0,443.0,448.920013
2021-12-14,159.3781265500565,142653.17317,456.0,456.0,441.0,450.01001
2021-12-15,159.3781265500565,141480.26936600002,459.0,459.0,443.0,446.309998
2021-12-16,149204.38895045005,0,485.0,485.0,419.5,445.559998
2021-12-17,3536.3433054500492,145668.045645,454.0,454.0,434.100006,434.829987
2021-12-20,155.0632734500491,144972.381372,441.0,441.0,417.25,422.660004
2021-12-21,156261.69523430004,0,474.0,474.0,397.299988,428.880005
2021-12-22,156261.69523430004,0,425.0,493.200012,403.100006,435.410004
2021-12-23,156261.69523430004,0,447.0,447.0,427.0,438.75
2021-12-24,162707.97544790004,0,381.700012,498.649994,381.700012,436.329987
