Date,Cash Available,Cash Invested,Open,High,Low,Close
2021-11-15,51466.68,49369.5,472.0,475.790009,456.0,465.75
2021-11-16,2701.3812719999987,98539.719576,474.0,474.0,460.049988,464.809998
2021-11-17,2701.3812719999987,98425.237668,404.399994,469.0,404.399994,464.269989
2021-11-18,102534.79597456001,0,403.899994,524.599976,403.899994,457.670013
2021-11-22,55713.43841000001,47608.84159,517.200012,517.200012,430.200012,449.140015
2021-11-23,104860.05280636,0,390.799988,476.100006,390.799988,455.670013
2021-11-24,105586.06079364002,0,396.399994,497.5,396.399994,453.429993
2021-11-25,57912.406409080024,48453.65841,480.600006,480.600006,426.200012,457.109985
2021-11-26,60713.960952720045,47277.06106,495.0,495.0,429.700012,446.01001
2021-11-29,109575.18725936006,0,419.200012,504.0,419.200012,439.540009
2021-11-30,63749.80831936006,46612.43894,447.0,447.0,430.0,439.73999
2021-12-01,111922.82402544007,0,413.399994,496.899994,413.399994,440.950012
2021-12-02,65595.06328344009,47124.420741999995,498.299988,498.299988,435.0,444.570007
2021-12-03,20189.831804280097,94255.201272,454.0,454.0,436.0,444.600006
2021-12-06,22712.163393000104,92540.12212,471.299988,471.299988,435.5,436.51001
2021-12-07,23852.945886200105,93769.719576,493.299988,493.299988,434.0,442.309998
2021-12-08,118347.50286996012,0,402.5,485.0,402.5,447.850006
2021-12-09,23880.30477796011,94992.957244,459.0,459.0,443.119995,448.079987
2021-12-10,72962.13128124014,47789.039575999996,485.0,485.0,421.200012,450.839996
2021-12-13,27033.89027076016,95171.042756,463.0,463.0,443.0,448.920013
2021-12-14,75610.89027076018,47701.06106,456.0,456.0,441.0,450.01001
2021-12-15,29751.722288320176,94617.719576,459.0,459.0,443.0,446.309998
2021-12-16,79186.2794840802,47229.359788,485.0,485.0,419.5,445.559998
2021-12-17,33171.67884808019,92183.957244,454.0,454.0,434.100006,434.829987
2021-12-20,33171.67884808019,89603.92084800001,441.0,441.0,417.25,422.660004
2021-12-21,83293.07392512022,45461.280529999996,474.0,474.0,397.299988,428.880005
2021-12-22,130277.07207844024,0,425.0,493.200012,403.100006,435.410004
2021-12-23,84551.27207844025,46507.5,447.0,447.0,427.0,438.75
2021-12-24,132560.22610388027,0,381.700012,498.649994,381.700012,436.329987
2021-12-27,133286.71811660027,0,397.100006,501.799988,397.100006,437.549988
2021-12-28,87268.46832860027,46752.359788,485.0,485.0,401.25,441.059998
2021-12-29,41264.46832860027,93307.56105999999,447.0,447.0,434.0,440.130005
2021-12-30,136324.2632996403,0,382.899994,484.0,382.899994,437.160004
2021-12-31,90070.64255764031,47044.920741999995,481.0,484.0,432.0,443.820007
2022-01-03,138634.09372720032,0,386.100006,464.679993,386.100006,446.809998
2022-01-04,91858.77383320032,47544.179894,468.130005,468.130005,420.0,448.529999
2022-01-05,93620.87690108032,47398.960424000004,475.399994,475.399994,434.0,447.160004
2022-01-06,95237.98330532033,47372.460424000004,485.0,485.0,421.559998,446.910004
2022-01-07,96501.51219580033,47707.420741999995,505.0,505.0,426.0,450.070007
2022-01-10,98034.86780640033,47786.920741999995,495.0,495.0,430.559998,450.820007
2022-01-11,99538.40293780035,47885.5,491.399994,491.399994,423.799988,451.75
2022-01-12,149059.70732720033,0,456.839996,478.899994,441.119995,453.290009
2022-01-13,101506.76775120034,48372.039575999996,463.0,463.0,447.0,456.339996
2022-01-14,103053.86743320034,48471.679894,515.700012,515.700012,442.160004,457.279999
2022-01-17,153092.41689964035,0,397.799988,516.700012,397.799988,459.070007
2022-01-18,57522.81626364034,95718.0,480.0,480.0,450.100006,451.5
2022-01-19,10351.755203640343,143513.396184,452.0,453.5,445.01001,451.299988
2022-01-20,59145.077484840345,95601.402544,457.0,457.0,441.0,450.950012
2022-01-21,110127.87716684035,47015.240954,478.0,478.0,423.899994,443.540009
2022-01-24,113298.92965520032,45362.701272,470.200012,470.200012,385.899994,427.950012
2022-01-25,114420.63177392034,45736.881166,498.649994,498.649994,389.399994,431.480011
2022-01-27,70294.23256060034,89758.68318,435.0,435.0,412.019989,423.390015
2022-01-28,117791.76083172038,45446.43894,436.0,442.799988,417.0,428.73999
2022-01-31,73148.72876252039,91649.719576,488.700012,488.700012,425.0,432.309998
2022-02-01,166374.7057462804,0,439.399994,495.0,427.0,437.220001
2022-02-02,167171.36574628038,0,447.0,447.0,435.0,444.109985
2022-02-03,120955.36574628038,46822.320106,444.5,446.899994,436.0,441.720001
2022-02-04,121901.66585228039,46802.179894,484.0,484.0,402.0,441.529999
2022-02-07,123755.76786144038,46493.719470000004,484.5,484.5,403.149994,438.619995
2022-02-08,31576.04839144038,139004.15841,445.0,445.0,432.5,437.119995
2022-02-09,126517.43589824041,46845.640212,484.0,484.0,392.5,441.940002
2022-02-10,33164.29568624041,140934.420636,448.0,448.0,437.5,443.190002
2022-02-11,83231.53235472042,92675.798728,500.799988,500.799988,436.0,437.149994
2022-02-14,38572.672566720415,134447.222862,443.0,443.0,421.309998,422.790009
2022-02-15,133223.8137230404,45657.381166,460.799988,460.799988,397.399994,430.730011
2022-02-16,134683.82208836038,45755.960424000004,443.0,443.0,421.0,431.660004
2022-02-17,89937.86172084036,91425.0,484.0,484.0,430.0,431.25
2022-02-18,45304.409920120364,136123.079364,435.899994,436.0,405.399994,428.059998
2022-02-21,94904.02647988033,89688.719576,477.25,477.25,420.600006,423.059998
2022-02-22,141900.91003180033,44702.320106,472.25,472.25,397.700012,421.720001
2022-02-23,142979.72314920032,45121.021378,434.0,434.0,396.399994,425.670013
2022-02-24,143712.57516192034,42749.798728,400.100006,430.0,399.649994,403.299988
2022-02-25,146108.10770820035,44196.701272,444.25,444.25,379.100006,416.950012
2022-02-28,147193.6409434003,44618.579258000005,450.0,450.0,407.809998,420.929993
2022-03-02,193251.0358120003,0,366.200012,450.0,366.200012,420.100006
2022-03-03,104291.59687200031,89302.87788,429.0,429.0,418.0,421.23999
2022-03-04,62572.47591800031,130472.222862,429.399994,429.399994,408.5,410.290009
2022-03-07,63288.03591800031,128462.460318,406.899994,409.0,391.0,403.970001
2022-03-08,64014.33713920031,129028.5,411.0,411.0,397.01001,405.75
2022-03-09,21084.33713920031,174861.84169600002,415.0,415.0,405.0,412.410004
2022-03-10,154815.56455052033,44357.820106,461.299988,461.299988,387.700012,418.470001
2022-03-11,156072.92957592037,44585.719470000004,472.899994,472.899994,393.399994,420.619995
2022-03-14,157519.3516346004,44632.359788,448.700012,448.700012,395.399994,421.059998
2022-03-15,69770.43089260042,132548.762226,427.0,427.0,411.0,416.820007
2022-03-16,160008.4053336404,45177.201272,438.700012,438.700012,410.579987,426.200012
2022-03-17,160985.8637992804,45712.5,445.700012,445.700012,400.609985,431.25
2022-03-21,162907.15221056037,45324.539575999996,458.700012,458.700012,407.149994,427.589996
2022-03-22,164407.09950536033,45342.56106,463.700012,463.700012,402.149994,427.76001
2022-03-23,74341.02024736031,136320.237774,436.0,436.0,421.0,428.679993
2022-03-24,167298.21104584032,45558.798728,464.700012,464.700012,419.970001,429.799988
2022-03-25,168937.2045824003,45445.381166,468.899994,468.899994,404.0,428.730011
2022-03-28,78913.5246884003,136193.039682,436.0,436.0,421.0,428.279999
2022-03-29,125846.42622760028,91227.84148399999,464.700012,464.700012,427.0,430.320007
2022-03-30,126819.0841124403,91789.640212,468.700012,468.700012,429.980011,432.970001
2022-03-31,128188.5190918803,92035.56105999999,464.700012,464.700012,430.809998,434.130005
2022-04-01,222174.7502035203,0,392.149994,464.679993,392.149994,438.269989
2022-04-04,222970.05337172028,0,445.0,463.25,434.359985,447.910004
2022-04-05,223777.43337172028,0,441.0,454.100006,441.0,451.23999
2022-04-06,224529.37934628027,0,452.25,464.0,411.549988,452.299988
2022-04-07,225281.43135900024,0,411.600006,511.100006,411.600006,451.190002
2022-04-08,226098.41135900022,0,459.0,459.130005,446.0,458.299988
2022-04-11,226928.4433717202,0,461.049988,468.0,453.100006,463.529999
2022-04-12,227665.8993462802,0,403.299988,495.0,403.299988,456.040009
2022-04-13,228465.8205674802,0,437.01001,485.0,437.01001,458.670013
2022-04-18,180779.6010974802,48291.478622,456.350006,459.980011,449.869995,455.579987
2022-04-19,182502.51680840016,47592.93894,459.040009,485.0,440.089996,448.98999
2022-04-20,183999.79924028015,47723.320106,467.279999,467.279999,440.040009,450.220001
2022-04-21,136507.55828628014,96525.719576,456.779999,457.0,448.040009,455.309998
2022-04-22,186142.85242468014,48033.899364,484.0,484.0,441.01001,453.149994
2022-04-25,139872.70375188012,94081.359788,453.100006,453.100006,421.26001,443.779999
2022-04-26,237401.96819292006,0,449.940002,501.5,443.779999,453.769989
2022-04-27,142581.78829892006,95128.640212,468.799988,468.799988,445.809998,448.720001
