Date,Cash Available,Cash Invested,Open,High,Low,Close
2021-11-15,100360.0456,0,42.880001,42.880001,42.16,42.650002
2021-11-16,50944.964433999994,49904.798834,42.98,42.98,42.380001,42.799999
2021-11-17,51304.077257319994,49601.641165999994,42.799999,42.799999,42.080002,42.540001
2021-11-18,1842.5080689800088,99366.522332,43.080002,43.080002,42.5,42.610001
2021-11-22,1842.5080689800088,98480.35999999999,42.470001,42.470001,42.150002,42.23
2021-11-23,1842.5080689800088,96404.88,42.060001,42.060001,40.439999,41.34
2021-11-24,1842.5080689800088,96078.402332,41.68,41.68,41.0,41.200001
2021-11-25,1842.5080689800088,96311.597668,41.459999,41.459999,41.200001,41.299999
2021-11-26,1842.5080689800088,97407.64000000001,41.639999,41.880001,41.209999,41.77
2021-11-29,1842.5080689800088,97057.837668,41.759998,41.759998,41.360001,41.619999
2021-11-30,1842.5080689800088,96801.31533600001,41.68,41.68,41.16,41.509998
2021-12-01,1842.5080689800088,96101.71766800001,41.43,41.43,40.73,41.209999
2021-12-02,1842.5080689800088,95565.35999999999,41.57,41.57,40.93,40.98
2021-12-03,1842.5080689800088,95425.435336,41.27,41.27,40.849998,40.919998
2021-12-06,1842.5080689800088,96311.597668,41.779999,41.779999,41.150002,41.299999
2021-12-07,1842.5080689800088,96125.04233200001,41.720001,41.720001,41.029999,41.220001
2021-12-08,1842.5080689800088,96708.04233200001,41.52,41.57,41.220001,41.470001
2021-12-09,1842.5080689800088,96428.195336,41.779999,41.779999,41.060001,41.349998
2021-12-10,1842.5080689800088,96241.64000000001,41.419998,41.419998,41.150002,41.27
2021-12-13,1842.5080689800088,96894.597668,41.68,41.68,41.400002,41.549999
2021-12-14,1842.5080689800088,96894.597668,41.459999,41.779999,41.459999,41.549999
2021-12-15,1842.5080689800088,96708.04233200001,41.779999,41.779999,41.029999,41.470001
2021-12-16,1842.5080689800088,97291.04233200001,42.169998,42.169998,41.599998,41.720001
2021-12-17,1842.5080689800088,98270.477668,41.880001,42.450001,41.880001,42.139999
2021-12-20,1842.5080689800088,97617.522332,42.560001,42.560001,41.720001,41.860001
2021-12-21,1842.5080689800088,97221.077668,42.119999,42.119999,41.380001,41.689999
2021-12-22,1842.5080689800088,96824.64000000001,41.959999,41.959999,41.23,41.52
2021-12-23,1842.5080689800088,97221.077668,42.220001,42.220001,41.619999,41.689999
2021-12-24,1842.5080689800088,97267.71766800001,42.080002,42.080002,41.43,41.709999
2021-12-27,1842.5080689800088,96987.88,42.040001,42.040001,41.52,41.59
2021-12-28,1842.5080689800088,97034.522332,41.919998,41.919998,41.279999,41.610001
2021-12-29,1842.5080689800088,96778.0,41.880001,41.880001,41.419998,41.5
2021-12-30,5764.64834864001,96125.04233200001,41.779999,43.779999,41.150002,41.220001
2021-12-31,5917.984915620036,96731.35999999999,41.919998,41.919998,41.360001,41.48
2022-01-03,54779.61932728004,48657.17999999999,42.07,44.25,41.540001,41.73
2022-01-04,6798.71699528004,96684.71766800001,41.779999,41.779999,41.150002,41.459999
2022-01-05,7234.62359626004,96917.922332,41.98,43.0,41.360001,41.560001
2022-01-06,7797.222373920042,96171.68466399999,41.82,41.82,41.18,41.240002
2022-01-07,7797.222373920042,95821.88,41.580002,41.580002,41.009998,41.09
2022-01-10,7797.222373920042,95775.24,41.439999,41.439999,40.759998,41.07
2022-01-11,57310.650785580045,48050.858834000006,41.580002,43.0,40.880001,41.209999
2022-01-12,57273.993929240045,48190.782332,41.68,41.68,41.209999,41.330002
2022-01-13,57613.300185580054,48295.717668,41.82,41.82,41.220001,41.419998
2022-01-14,106026.90656324006,0,41.32,41.779999,41.23,41.529999
